AcadYr,Major,Level,NumRecords,School
2010,Life Sciences,Graduate,1135,Davis
2010,Law,Graduate,591,Davis
2010,Engineering/CS,Graduate,987,Davis
2010,Education,Graduate,299,Davis
2010,Business,Graduate,515,Davis
2010,Arts & Humanities,Graduate,431,Davis
2010,Architecture,Graduate,30,Davis
2009,Other/Interdisc.,Graduate,404,Davis
2009,Multiple Majors,Graduate,87,Davis
2009,Social Sciences,Graduate,502,Davis
2009,Physical Sciences,Graduate,586,Davis
2009,Other Health Science,Graduate,598,Davis
2009,Medicine,Graduate,401,Davis
2009,Life Sciences,Graduate,1138,Davis
2009,Law,Graduate,606,Davis
2009,Engineering/CS,Graduate,897,Davis
2009,Education,Graduate,260,Davis
2009,Business,Graduate,545,Davis
2009,Arts & Humanities,Graduate,426,Davis
2009,Architecture,Graduate,27,Davis
2008,Other/Interdisc.,Graduate,429,Davis
2008,Multiple Majors,Graduate,85,Davis
2008,Social Sciences,Graduate,506,Davis
2008,Physical Sciences,Graduate,547,Davis
2008,Other Health Science,Graduate,569,Davis
2008,Medicine,Graduate,391,Davis
2008,Life Sciences,Graduate,1062,Davis
2008,Law,Graduate,575,Davis
2008,Engineering/CS,Graduate,884,Davis
2008,Education,Graduate,254,Davis
2008,Business,Graduate,504,Davis
2008,Arts & Humanities,Graduate,413,Davis
2008,Architecture,Graduate,25,Davis
2007,Other/Interdisc.,Graduate,439,Davis
2007,Multiple Majors,Graduate,95,Davis
2007,Social Sciences,Graduate,503,Davis
2007,Physical Sciences,Graduate,563,Davis
2007,Other Health Science,Graduate,543,Davis
2007,Medicine,Graduate,386,Davis
2007,Life Sciences,Graduate,1091,Davis
2007,Law,Graduate,579,Davis
2007,Engineering/CS,Graduate,875,Davis
2007,Education,Graduate,253,Davis
2007,Business,Graduate,457,Davis
2007,Arts & Humanities,Graduate,380,Davis
2007,Architecture,Graduate,28,Davis
2016,Undeclared,Undergraduate,1998,Irvine
2016,Other/Interdisc.,Undergraduate,1425,Irvine
2016,Multiple Majors,Undergraduate,1659,Irvine
2016,Social Sciences,Undergraduate,4697,Irvine
2016,Physical Sciences,Undergraduate,1614,Irvine
2016,Other Health Science,Undergraduate,1964,Irvine
2016,Life Sciences,Undergraduate,3538,Irvine
2016,Engineering/CS,Undergraduate,5706,Irvine
2016,Education,Undergraduate,457,Irvine
2016,Business,Undergraduate,2512,Irvine
2016,Arts & Humanities,Undergraduate,1761,Irvine
2015,Undeclared,Undergraduate,2094,Irvine
2015,Other/Interdisc.,Undergraduate,1575,Irvine
2015,Multiple Majors,Undergraduate,1521,Irvine
2015,Social Sciences,Undergraduate,4518,Irvine
2015,Physical Sciences,Undergraduate,1334,Irvine
2015,Other Health Science,Undergraduate,1958,Irvine
2015,Life Sciences,Undergraduate,3163,Irvine
2015,Engineering/CS,Undergraduate,4819,Irvine
2015,Education,Undergraduate,304,Irvine
2015,Business,Undergraduate,2233,Irvine
2015,Arts & Humanities,Undergraduate,1737,Irvine
2014,Undeclared,Undergraduate,2141,Irvine
2014,Other/Interdisc.,Undergraduate,1488,Irvine
2014,Multiple Majors,Undergraduate,1480,Irvine
2014,Social Sciences,Undergraduate,4643,Irvine
2014,Physical Sciences,Undergraduate,1172,Irvine
2014,Other Health Science,Undergraduate,1983,Irvine
2014,Life Sciences,Undergraduate,3088,Irvine
2014,Engineering/CS,Undergraduate,4564,Irvine
2014,Education,Undergraduate,145,Irvine
